job_title,university,location,job_type,date
Adjunct Faculty - Master of Science in Data Analytics,Colorado State University Global Campus,Online/Remote,Statistics,10/23/19
Freelance Author (m/f/d) – User Interface and Experience,IUBH Internationale Hochschule GmbH Fernstudium,Online/Remote,Computer Science,10/23/19
Freelance Author (m/f/d) – Statistics: Inferential Statistics,IUBH Internationale Hochschule GmbH Fernstudium,Online/Remote,Computer Science,10/23/19
Freelance Author (m/f/d) – Data Engineering,IUBH Internationale Hochschule GmbH Fernstudium,Online/Remote,Computer Science,10/23/19
Freelance Author (m/f/d) – Big Data Technologies,IUBH Internationale Hochschule GmbH Fernstudium,Online/Remote,Computer Science,10/23/19
Freelance Author (m/f/d) – Advanced NLP and Computer Vision,IUBH Internationale Hochschule GmbH Fernstudium,Online/Remote,Computer Science,10/23/19
Freelance Author (m/f/d) – NLP and Computer Vision,IUBH Internationale Hochschule GmbH Fernstudium,Online/Remote,Computer Science,10/23/19
Freelance Author (m/f/d) – Software Engineering for Data-Intensive Sciences,IUBH Internationale Hochschule GmbH Fernstudium,Online/Remote,Computer Science,10/23/19
Assistant Professor of Computer Science,Southern New Hampshire University,Hooksett  NH,Computer Science,10/23/19
Assistant Professor-School of Computing,University of North Florida,Jacksonville  FL,Computer Science,10/23/19
Research Assistant/Associate Professor - College of Information and Computer Sciences,University of Massachusetts - Amherst,Amherst  MA,Computer Science,10/23/19
Part-Time Lecturer Online MS in Cybersecurity,Northeastern University,Boston  MA,Computer Science,10/23/19
Instructor/Assistant Professor - Computer Science,Lock Haven University of Pennsylvania,Lock Haven  PA,Computer Science,10/23/19
Part-Time Lecturer Computer Systems Online,Northeastern University,Boston  MA,Computer Science,10/23/19
Part-Time Lecturer - MS in Cybersecurity,Northeastern University,Boston  MA,Computer Science,10/23/19
Assistant/Associate Professor-CSE (F00195P),University of Texas at Arlington,Arlington  TX,Computer Engineering,10/23/19
Open-Rank Term Faculty Positions,George Mason University,Fairfax  VA,Computer Science,10/23/19
Computer Science Tenure-Track Faculty (Category I),Metropolitan State University of Denver,Denver  CO,Computer Science,10/22/19
Visiting Assistant or Associate Professor or Instructor  Dept. of Computer Science,College of Charleston,Charleston  SC,Computer Science,10/22/19
Assistant Professor (Tenure-Track)  Dept. of Computer Science,College of Charleston,Charleston  SC,Computer Science,10/22/19
Assistant Professor of Computer Science,Rocky Mountain College,Billings  MT,Computer Science,10/22/19
Assistant Professor of Computer Science,Southern New Hampshire University,Hooksett  NH,Computer Science,10/22/19
Quarterly Adjunct Lecturer - Computer Science and Engineering (Pool),Santa Clara University,Santa Clara  CA,Computer Engineering,10/22/19
Visiting Assistant Professor  Computer Science,Texas A&amp;M University - Corpus Christi,Corpus Christi  TX,Computer Science,10/22/19
Professional Assistant Professor  Computer Science,Texas A&amp;M University - Corpus Christi,Corpus Christi  TX,Computer Science,10/22/19
Assistant Professor of Computer Science,Catawba College,Salisbury  NC,Computer Science,10/21/19
Assistant Professor of Data Science,Catawba College,Salisbury  NC,Computer Science,10/21/19
Assistant or Associate Professor of Computer Science,California State University  Bakersfield,Bakersfield  CA,Computer Science,10/21/19
Chair and Professor with Tenure  Department of Computer and Data Sciences - Case School of Engineering,Case Western Reserve University,Cleveland  OH,Computer Engineering,10/21/19
Tenure-Track Assistant Professor of Computer Science,Pepperdine University,Malibu  CA,Computer Science,10/21/19
Information Security Lecturer,Western Colorado University,Gunnison  CO,Computer Science,10/21/19
Computer Science - Data Science  Cybersecurity and Medical Image Computing (Tenure-Track),Old Dominion University,Norfolk  VA,Computer Science,10/21/19
Assistant Professor - Computer Science,University of Colorado Colorado Springs,Colorado Springs  CO,Computer Science,10/21/19
Assistant/Associate Professor  Department of Computer Science and Engineering,University of Tennessee at Chattanooga,Chattanooga  TN,Computer Science,10/21/19
Computer and Data Science  Assistant Professor,University of Saint Joseph,West Hartford  CT,Computer Science,10/21/19
Part Time Lecturer  Computer Applications for Business,Rutgers  The State University of New Jersey,New Brunswick  NJ,Computer Science,10/21/19
Assistant / Associate Professor Information Systems & Cyber Security Fall 2020,The University of Texas at San Antonio,San Antonio  TX,Information Systems and Technology,10/21/19
Computer Science (Adjunct) Instructor (Daytime Only),Hillsborough Community College,Tampa  FL,Computer Science,10/21/19
Computer Science (Adjunct) Instructor,Hillsborough Community College,Tampa  FL,Computer Science,10/21/19
Assistant Professor Tenure Track,Utah State University,Logan  UT,Computer Science,10/21/19
Postdoctoral Associate  School of Medicine  Computational Biomedicine,Boston University,Boston  MA,Biology,10/21/19
Adjunct Instructor - Computer Science,SUNY College at Old Westbury,Old Westbury  NY,Computer Science,10/18/19
Instructor I. Computer Networking and Troubleshooting 999905,Lamar Institute of Technology,Beaumont  TX,Information Systems and Technology,10/18/19
Adjunct Faculty - Bachelor of Science in Computer Science,Colorado State University Global,Online/Remote,Computer Science,10/18/19
Assistant Professor  Tenure Track - UMD Computer Science,University of Minnesota Duluth,Duluth  MN,Computer Science,10/18/19
Computer Science and Information Systems Adjunct (Wheeling  IL),National Louis University,Wheeling  IL,Computer Science,10/18/19
Computer Science and Engineering Professor of Practice,Lehigh University,Bethlehem  PA,Computer Engineering,10/18/19
Computer Science and Information Systems Adjunct ( Chicago Loop),National Louis University,Chicago  IL,Computer Science,10/18/19
Computer Science (Adjunct) Instructor,Hillsborough Community College,Tampa  FL,Computer Science,10/18/19
Computer Science (Adjunct) Instructor (Daytime Only),Hillsborough Community College,Tampa  FL,Computer Science,10/18/19
Adjunct Instructor - Computer Science,The College of New Jersey,Ewing  NJ,Computer Science,10/18/19
Lecturers in Computer Science,Indiana University Bloomington,Bloomington  IN,Computer Science,10/18/19
Assistant Professor  Computer Science  College of Arts & Sciences,Boston University,Boston  MA,Computer Science,10/18/19
Assistant Professor in Code as a Liberal Art,The New School,New York City  NY,Computer Science,10/18/19
Tenure-track  Assistant Professor rank in Computer Science,Augustana College,Rock Island  IL,Computer Science,10/18/19
Computer Science Adjunct Faculty (EVENING COURSES) - Spring 2020,Union County College,Cranford  NJ,Computer Science,10/18/19
Computer Science Adjunct Faculty (DAY COURSES) - Spring 2020,Union County College,Cranford  NJ,Computer Science,10/18/19
Associate Research Scholar,Princeton University,Princeton  NJ,Computer Science,10/18/19
Adjunct Instructor - Computer Science,Utah Valley University,Orem  UT,Computer Science,10/18/19
Assistant Professor - College of Engineering,Howard University,Washington  DC,Electrical Engineering,10/18/19
Assistant Professor of Computer Science and Cybersecurity,Metropolitan State University,St. Paul/Minneapolis  MN,Computer Science,10/17/19
Assistant Professor - Computer Network System Management,San Jose State University,San Jose  CA,Computer Science,10/17/19
Adjunct Professor - Mobile App Development,LIM College,New York  NY,Marketing and Sales,10/17/19
The Grainger College of Engineering: Teaching Professor (Open Rank) - Computer Science (123427),University of Illinois at Urbana-Champaign,Urbana  IL,Computer Science,10/17/19
Professor of Informatics,Arizona Western College,Yuma  AZ,Information Systems and Technology,10/17/19
ECE Part-time Lecturer,Rutgers  The State University of New Jersey,New Brunswick  NJ,Finance,10/17/19
Computer Science and Engineering: Assistant Professor in Deep Learning (Initial Review 1/07/20),University of California  Santa Cruz,Santa Cruz  CA,Computer Science,10/17/19
Postdoctoral Scholar - Smyth/Singh - October 2019,University of California  Irvine,Irvine  CA,Computer Science,10/17/19
Tenure Track Faculty in Computer Science,Western Colorado University,Gunnison  CO,Computer Science,10/16/19
Research Scientist  Asst (19004644),University of Wyoming,Laramie  WY,Computer Science,10/16/19
Research Scientist  Asst (19004640),University of Wyoming,Laramie  WY,Computer Science,10/16/19
Assistant/Associate Professor of Computer Science,Whitworth University,Spokane  WA,Computer Science,10/16/19
Adjunct - Online Instructor(s) of Computer Science,Northwest College,Online/Remote,Computer Science,10/16/19
Full-Time Faculty - Computer Information Systems,Missouri Valley College,Marshall  MO,Computer Science,10/16/19
Assistant Professor of Data Science,Ramapo College of New Jersey,Mahwah  NJ,Computer Science,10/16/19
Assistant Professor of Computer Science,Ramapo College of New Jersey,Mahwah  NJ,Computer Science,10/16/19
Assistant or Associate Professor  Tenure Track  Computer Science,High Point University,High Point  NC,Computer Science,10/16/19
Assistant / Associate / Professor #00075710,Missouri University of Science and Technology,Rolla  MO,Computer Science,10/16/19
Multiple Faculty Positions at All Ranks - Department of Computer Science,University of Virginia,Charlottesville  VA,Computer Science,10/16/19
Postdoctoral Scholar in Computer Science for All,University of California  Irvine,Irvine  CA,Computer Science,10/16/19
Lecturer of Computer Science,University of New Hampshire,Durham  NH,Computer Science,10/16/19
Postdoctoral Research Associate,Princeton University,Princeton  NJ,Computer Science,10/16/19
Assistant Professor in Cybersecurity and Network Systems,University of Nevada  Reno,Reno  NV,Computer Science,10/16/19
Adjunct Faculty - Computer Science,Central Texas College,Killeen  TX,Computer Science,10/15/19
Teaching Assistant Professor - Computer Science,Oklahoma State University,Stillwater  OK,Computer Science,10/15/19
Assistant Professor,Midwestern State University,Wichita Falls  TX,Computer Science,10/15/19
Tenure-Track Assistant/Associate Professor for Digital Forensics/Cyber Security,Bloomsburg University of Pennsylvania,Bloomsburg  PA,Security Studies,10/15/19
Full-Time Computer Science Faculty,Southern Wesleyan University,Central  SC,Computer Science,10/15/19
Assistant Professor - Big Data/Cybersecurity,Hartwick College,Oneonta  NY,Computer Science,10/15/19
Post-Doctoral Research Fellow - ECON/Data Science,The University of Memphis,Memphis  TN,Economics,10/15/19
Computer Science and Engineering: Assistant Professor in Computer Security (Initial Review 1/10/20),University of California  Santa Cruz,Santa Cruz  CA,Computer Science,10/15/19
Assistant/Associate/Professor (Lecturer) in Computer Science,University of Utah,Salt Lake City  UT,Computer Science,10/15/19
Data Science Faculty Position,University of Notre Dame,Notre Dame  IN,Computer Science,10/15/19
Professor and Yahoo! Founder Chair  Computer Science,Tulane University,New Orleans  LA,Computer Science,10/15/19
Open Rank  Tenured/Tenure-Track  Computer Science,Tulane University,New Orleans  LA,Computer Science,10/15/19
Clinical Assistant Professor,Boise State University,Boise  ID,Computer Science,10/15/19
Faculty  Computer Science (Networking and Cybersecurity),Austin Community College District,Austin  TX,Computer Science,10/15/19
Faculty  Computer Science (AI  Data Analytics  Software Dev),Austin Community College District,Austin  TX,Computer Science,10/15/19
Assistant Professor of Computer Science (General/Core) - 2 Positions,California State University  East Bay,Hayward  CA,Computer Science,10/14/19
Assistant Professor of Computer Science & Information Technology,Limestone College,Gaffney  SC,Computer Science,10/14/19
Assistant Professor of Computer Science (Social Media Studies),Lawrence Technological University,Southfield  MI,Computer Science,10/14/19
Assistant Professor of Computer Science,California State University  Fullerton,Fullerton  CA,Computer Science,10/14/19
Adjunct  Software Engineering,Monmouth University,West Long Branch  NJ,Computer Science,10/14/19
Adjunct  Computer Science,Monmouth University,West Long Branch  NJ,Computer Science,10/14/19
Postdoctoral Research Fellow / Research Associate Position in Data Science and Smartphone-Based Digital Phenotyping,Harvard University,Cambridge  MA,Computer Science,10/14/19
Multiple Teaching Professor Positions in Data Science,Rice University,Houston  TX,Computer Science,10/14/19
Assistant Professor(s) – Computer Science,La Roche University,Pittsburgh  PA,Computer Science,10/12/19
Postdoctoral Fellow in Human Genetics,Desert Research Institute,Reno  NV,Biochemistry and Molecular Biology,10/11/19
Instructor  Cybersecurity (Job #0847) - Closing Date Extended,Pasco-Hernando State College,New Port Richey  FL,Computer Science,10/11/19
Adjunct Position: Computer Science & Information Technology Department – Introduction to Microsoft Excel,Chestnut Hill College,Philadelphia  PA,Computer Science,10/11/19
Adjunct Faculty in Management Information Systems and Data Visualization,Bloomfield College,Bloomfield  NJ,Information Systems and Technology,10/11/19
Assistant Professor of Computer Science,DeSales University,Center Valley  PA,Computer Science,10/11/19
Part-Time Faculty of Computer Science,Albright College,Reading  PA,Computer Science,10/11/19
Instructor or Lecturer and Computer Science Program Coordinator,Bryn Mawr College,Bryn Mawr  PA,Computer Science,10/11/19
Computer Science/Information Technology Lecturer,Central Michigan University,Mt. Pleasant  MI,Computer Science,10/11/19
Visiting Assistant Professor of Computer Science,Centre College,Danville  KY,Computer Science,10/11/19
Assistant or Associate Professor in Computer Science/Data Science,Colorado State University,Fort Collins  CO,Computer Science,10/11/19
Software Engineering Instructor,Keiser University,Melbourne  FL,Computer Science,10/11/19
Assistant Professor  Computer Science,University of San Diego,San Diego  CA,Computer Science,10/11/19
Assistant Professor  Computer Science,University of Central Florida,Orlando  FL,Computer Science,10/11/19
Assistant Professor - Computer Science and Networking,Wentworth Institute of Technology,Boston  MA,Computer Science,10/11/19
Assistant Professor in AI/Data Mining/Decision Science Fall 2020,The University of Texas at San Antonio,San Antonio  TX,Computer Science,10/11/19
Tenure-Track Assistant Professor Position in Computer Science,University of Nebraska at Omaha,Omaha  NE,Computer Science,10/10/19
College of Engineering and Science/Open Faculty Positions,Louisiana Tech University,Ruston  LA,Biological Engineering,10/10/19
Assistant or Associate Professor of Computer Science Tenure Track,Hanover College,Hanover  IN,Computer Science,10/10/19
Assistant Professor of Computer Science  Department of Math and Computer Science (9-month  TT),Samford University,Birmingham  AL,Computer Science,10/10/19
Assistant/Associate Professor of Computer Science,University of Maine at Fort Kent,Fort Kent  ME,Computer Science,10/10/19
Computer Information Science  Faculty Position,Gwynedd Mercy University,Gwynedd Valley  PA,Computer Science,10/10/19
Teaching Faculty Positions in Cybersecurity; Artificial Intelligence & Data Sciences; Human-Centered Design & Development,Penn State,University Park  PA,Computer Science,10/10/19
Assistant/Associate Professor - Cybersecurity / Statler College,West Virginia University,Morgantown  WV,Computer Science,10/10/19
Clinical Assistant Professor (C/T),University of Colorado Denver,Denver  CO,Computer Science,10/10/19
Open Rank Faculty Position in Human-Computer Interaction and Design,University of California  Irvine,Irvine  CA,Computer Science,10/10/19
Assistant Professor of Computer Science,Penn State Harrisburg,Middletown  PA,Computer Science,10/10/19
Assistant or Associate Professor (Security  Cryptography  or Privacy) - Department of Computer Science,Georgetown University,Washington  DC,Computer Science,10/10/19
Assistant or Associate Professor (General) - Department of Computer Science,Georgetown University,Washington  DC,Computer Science,10/10/19
Part Time Instructor Pool - Computer Science,Grossmont-Cuyamaca Community College District,El Cajon  CA,Computer Science,10/10/19
Pool - Lecturer - Electrical Engineering & Computer Science,University of Kansas,Lawrence  KS,Electrical Engineering,10/10/19
Assistant or Associate Professor - Cybersecurity,California Polytechnic State University - San Luis Obispo,San Luis Obispo  CA,Computer Science,10/10/19
Assistant Professor - Computer Science,University of Kansas,Lawrence  KS,Computer Science,10/10/19
Tenure-Track Faculty of Software Engineering and Game Development,Kennesaw State University,Kennesaw  GA,Computer Science,10/09/19
Teaching Faculty / Computer Science – 9 or 12 month,Florida State University Panama City,Panama City  FL,Computer Science,10/09/19
Tenure Track Assistant Professor,Fordham University,Manhattan  NY,Computer Science,10/09/19
Multiple Tenure-Track Faculty Positions in Computer Science,The American University of Beirut,Beirut  Lebanon,Computer Science,10/09/19
Computing and Information Science Faculty,Mercyhurst University,Erie  PA,Computer Science,10/09/19
Assistant Professor of Computer Science,Marian University,Indianapolis  IN,Computer Science,10/09/19
Assistant Professor  Visual Communication,Northern Illinois University,DeKalb  IL,Graphic Design,10/09/19
Assistant Professor of Computer Science,Widener University,Chester  PA,Computer Science,10/09/19
Open Rank Tenure-Track/Tenured Faculty Position in the Department of Engineering Systems and Environment,University of Virginia,Charlottesville  VA,Civil and Environmental Engineering,10/09/19
Assistant Professor  Computer Science,State University of New York College at Plattsburgh,Plattsburgh  NY,Computer Science,10/09/19
Lecturer/Assistant/Associate/Full Teaching Professor-Boston,Northeastern University,Boston  MA,Computer Science,10/09/19
Adjunct: Computer Science,Springfield College,Springfield  MA,Computer Science,10/09/19
Instructor,Rice University,Houston  TX,Computer Science,10/09/19
Assistant/Associate Professor,Miami University,Oxford  OH,Computer Science,10/09/19
Adjunct Faculty (Computer Science) NVC - req6108,Alamo Colleges,San Antonio  TX,Computer Science,10/09/19
Associate Dean and Full Time Faculty  School of Computer Science and Engineering,Sacred Heart University,Fairfield  CT,Computer Science,10/08/19
Assistant Professor of Computer Science,Bowdoin College,Brunswick  ME,Computer Science,10/08/19
Tenure Track Position Open Rank  Center for Data Science  New York University Arts and Science,New York University Arts and Science,New York  NY,Statistics,10/08/19
Assistant Professor - Computer Science,California Lutheran University,Thousand Oaks  CA,Computer Science,10/08/19
Adjunct Faculty  Computer Information Systems - Spring 2020,College of DuPage,Glen Ellyn  IL,Computer Science,10/08/19
Adjunct Faculty  Computer & Information Technology - Spring 2020,College of DuPage,Glen Ellyn  IL,Computer Science,10/08/19
Faculty (Adjunct) - Computer Studies,Santa Rosa Junior College,Santa Rosa  CA,Computer Science,10/08/19
Lecturer  Info Technology and Cyber Security,University of Southern Maine,Gorham  ME,Information Systems and Technology,10/08/19
Lecturer in Computer Science/Engineering,University of Kentucky,Lexington  KY,Computer Science,10/08/19
Visiting Faculty  Computer Science,Tulane University,New Orleans  LA,Computer Science,10/08/19
Assistant Professor - Computer Science,University of North Carolina Wilmington,Wilmington  NC,Computer Science,10/08/19
Assistant Professor - Computer Science,University of North Carolina Wilmington,Wilmington  NC,Computer Science,10/08/19
Department Head  Computer Science and Engineering,University of Tennessee at Chattanooga,Chattanooga  TN,Computer Science,10/08/19
Assistant/Associate Professor  Department of Computer Science and Engineering,University of Tennessee at Chattanooga,Chattanooga  TN,Computer Science,10/08/19
Assistant Professor - Computer Science-Cybersecurity,University of Wisconsin - Green Bay,Green Bay  WI,Computer Science,10/08/19
Tenure-track Assistant/Associate Professor of Computing Sciences,University of Hartford,West Hartford  CT,Computer Science,10/07/19
Instructor or Assistant Professor  Web and User Experience (F00097P),Weber State University,Ogden  UT,Computer Science,10/07/19
Instructor or Assistant Professor School of Computing (F00095P),Weber State University,Ogden  UT,Computer Science,10/07/19
Assistant Professor School of Computing / WSU Davis Campus Coordinator (F00094P),Weber State University,Ogden  UT,Computer Science,10/07/19
Director  High-Performance Computing and Associate Professor of Data Science,Kennesaw State University,Kennesaw  GA,Information Systems and Technology,10/07/19
Assistant Professor of Information Technology,Kennesaw State University,Kennesaw  GA,Information Systems and Technology,10/07/19
Assistant Professor of Information Systems,Kennesaw State University,Kennesaw  GA,Computer Science,10/07/19
Assistant Professor of Computer Science,Kennesaw State University,Kennesaw  GA,Computer Science,10/07/19
Online CIS Cyber and Network Security Master’s Faculty,ECPI University,Online/Remote,Computer Science,10/07/19
