job_title,university,location,job_type,date
Assistant Professor of Software Engineering (Tenure-Track) - College of Arts and Sciences,Ashland University,Ashland  OH,Computer Engineering,10/25/19
Lecturer  College of Engineering,The University of Texas at Tyler,Houston  TX,Electrical Engineering,10/25/19
Research Fellow in Autonomous Systems for Mobile Robotics,University of Leeds,Leeds  United Kingdom,Computer Engineering,10/25/19
Professor Of Machine Learning,University of Wisconsin - Madison,Madison  WI,Electrical Engineering,10/25/19
Assistant Professor,California State Polytechnic University  Pomona,Pomona  CA,Electrical Engineering,10/24/19
Tenure Track Assistant Professor,Seattle University - Department of Computer Science &amp; Software Engineering,Seattle  WA,Computer Engineering,10/24/19
Assistant Lecturers/Assistant Professors of Practice (Variable Time),Southern Illinois University Carbondale,Carbondale  IL,Mechanical Engineering,10/24/19
Part-Time Faculty - CPD Computer and Information Science,San Jacinto College,Pasadena  TX,Computer Engineering,10/24/19
Adjunct Faculty - Management Information Systems & Business Analytics,Colorado State University Global Campus,Online/Remote,Information Systems and Technology,10/23/19
Post Doctoral Fellow (COE Electrical and Computer Engineering),The University of Texas at San Antonio,San Antonio  TX,Computer Engineering,10/23/19
Full Time Lecturer Position  Department of Electrical and Computer Engineering,Rowan University,Glassboro  NJ,Computer Engineering,10/23/19
Assistant/Associate Professor-CSE (F00195P),University of Texas at Arlington,Arlington  TX,Computer Engineering,10/23/19
Assistant Professor of Computer Engineering,Sacred Heart University,Fairfield  CT,Computer Engineering,10/22/19
ECE Part-time Lecturer for RF Integrated Circuit Design course,Rutgers  The State University of New Jersey,New Brunswick  NJ,Computer Engineering,10/22/19
ECE Part-time Lecturer,Rutgers  The State University of New Jersey,New Brunswick  NJ,Computer Engineering,10/22/19
Quarterly Adjunct Lecturer - Computer Science and Engineering (Pool),Santa Clara University,Santa Clara  CA,Computer Engineering,10/22/19
Assistant Professor in Electrical & Computer Engineering - Robotics (F20),University of Michigan - Dearborn,Dearborn  MI,Computer Engineering,10/22/19
Assistant Professor in Electrical & Computer Engineering - Power/Energy Systems (F20),University of Michigan - Dearborn,Dearborn  MI,Computer Engineering,10/22/19
Computer Science and Software Engineering Faculty - All Ranks,Milwaukee School of Engineering,Milwaukee  WI,Computer Engineering,10/21/19
Open Rank/Tenure Track Faculty in Electrical and Computer Engineering for 2020-2021,Rose-Hulman Institute of Technology,Terre Haute  IN,Electrical Engineering,10/21/19
Assistant or Associate Professor of Computer Engineering,California State University  Bakersfield,Bakersfield  CA,Computer Engineering,10/21/19
Chair and Professor with Tenure  Department of Computer and Data Sciences - Case School of Engineering,Case Western Reserve University,Cleveland  OH,Computer Engineering,10/21/19
Computer Engineering Technology A+ (Adjunct) Instructor,Hillsborough Community College,Tampa  FL,Computer Engineering,10/21/19
Computer Science and Engineering Professor of Practice,Lehigh University,Bethlehem  PA,Computer Engineering,10/18/19
Computer Engineering Technology A+ (Adjunct) Instructor,Hillsborough Community College,Tampa  FL,Computer Engineering,10/18/19
Lecturers in Intelligent Systems Engineering,Indiana University Bloomington,Bloomington  IN,Computer Engineering,10/18/19
Tenured Professor and Senior Scientist  Simons Institute for the Theory of Computing,University of California  Berkeley,Berkeley  CA,Computer Engineering,10/18/19
Instructor/ Computer Science & Engineering,New Mexico Tech,Socorro  NM,Computer Engineering,10/17/19
ECE Part-time Lecturer,Rutgers  The State University of New Jersey,New Brunswick  NJ,Finance,10/17/19
Assistant/Associate/Full Professor – Electrical and Computer Engineering,New Jersey Institute of Technology,Newark  NJ,Electrical Engineering,10/16/19
Assistant Professor - Computer Engineering,New Jersey Institute of Technology,Newark  NJ,Computer Engineering,10/16/19
Assistant / Associate / Professor #00075710,Missouri University of Science and Technology,Rolla  MO,Computer Science,10/16/19
Assistant Professor  Electrical and Computer Engineering - CPE,Villanova University,Villanova  PA,Computer Engineering,10/16/19
Collegiate Faculty,Virginia Tech,Blacksburg  VA,Computer Engineering,10/16/19
Assistant/Associate/Professor of Engineering,Bryan College,Dayton  TN,Computer Engineering,10/15/19
Assistant Professor  Software Engineering,Gannon University,Erie  PA,Computer Engineering,10/15/19
Teaching Assistant/Associate Professor - Computer Engineering / Statler College,West Virginia University,Morgantown  WV,Computer Engineering,10/15/19
The Grainger College of Engineering: Professor (Open Rank) - Electrical and Computer Engineering (122972),University of Illinois at Urbana-Champaign,Urbana  IL,Electrical Engineering,10/14/19
Assistant Professor /Associate Professor /Professor,Qatar University,Doha  Qatar,Computer Engineering,10/14/19
Post-Doctoral Fellow,Khalifa University of Science and Technology,Abu Dhabi  United Arab Emirates,Computer Engineering,10/14/19
Post-Doctoral Fellow,Khalifa University of Science and Technology,Abu Dhabi  United Arab Emirates,Computer Engineering,10/14/19
Post - Doctoral Fellow,Khalifa University of Science and Technology,Abu Dhabi  United Arab Emirates,Computer Engineering,10/14/19
Post Doctoral Research Associate,Northeastern University,Boston  MA,Computer Engineering,10/14/19
Assistant  Associate  or Full Professor - Electrical and Computer Engineering,University of California  Santa Barbara,Santa Barbara  CA,Computer Engineering,10/14/19
Tenure Track Electrical & Computer Engineering Faculty (Open-Rank),University of St. Thomas,St. Paul  MN,Computer Engineering,10/14/19
Postdoctoral Research Associate  Electrical & Computer Engineering,Carnegie Mellon University,Pittsburgh  PA,Computer Engineering,10/11/19
Assistant/Associate Professor of Electrical and Computer Engineering,University of Wisconsin - Stout,Menomonie  WI,Computer Engineering,10/11/19
Research Engineer,Khalifa University of Science and Technology,Abu Dhabi  United Arab Emirates,Computer Engineering,10/11/19
Full Time Tenure Track Position in Electrical and Computer Engineering,Rowan University,Glassboro  NJ,Computer Engineering,10/11/19
Postdoctoral Fellow,Khalifa University of Science and Technology,Abu Dhabi  United Arab Emirates,Computer Engineering,10/11/19
College of Engineering and Science/Open Faculty Positions,Louisiana Tech University,Ruston  LA,Biological Engineering,10/10/19
Assistant Professor  Computer Engineering,Binghamton University,Binghamton  NY,Computer Engineering,10/10/19
Assistant/Associate/Full Professor - Electrical and Computer Engineering,Northeastern University,Boston  MA,Computer Engineering,10/10/19
Electrical and Computer Engineering: Junior Specialist (Open until filled. Apply by 11/7/19),University of California  Santa Cruz,Santa Cruz  CA,Computer Engineering,10/10/19
Adjunct Instructor of Engineering Computational Methods,York College of Pennsylvania,York  PA,Computer Engineering,10/10/19
Adjunct Instructor of Applied Controls,York College of Pennsylvania,York  PA,Computer Engineering,10/10/19
Assistant Professor - Computer Engineering,University of Kansas,Lawrence  KS,Computer Engineering,10/10/19
Tenure-Track Faculty of Software Engineering and Game Development,Kennesaw State University,Kennesaw  GA,Computer Science,10/09/19
Open Rank Tenure-Track/Tenured Faculty Position in the Department of Engineering Systems and Environment,University of Virginia,Charlottesville  VA,Civil and Environmental Engineering,10/09/19
Assistant/Associate/Full Professor - Electrical and Computer Engineering,Northeastern University,Boston  MA,Computer Engineering,10/09/19
Faculty (Adjunct) - Engineering,Santa Rosa Junior College,Santa Rosa  CA,Civil and Environmental Engineering,10/09/19
Instructional Faculty,Rochester Institute of Technology,Rochester  NY,Computer Engineering,10/09/19
Instructional Faculty,Rochester Institute of Technology,Rochester  NY,Computer Engineering,10/09/19
Assistant Professor Of Quantum Science & Engr. - Cluster Hire,University of Wisconsin - Madison,Madison  WI,Computer Engineering,10/09/19
Associate Dean and Full Time Faculty  School of Computer Science and Engineering,Sacred Heart University,Fairfield  CT,Computer Science,10/08/19
Lecturer/Associate/Full Teaching Professor of ECE or ME or MSE at UM-SJTU Joint Institute,University of Michigan-Shanghai Jiao Tong University Joint Institute,Shanghai  China,Computer Engineering,10/08/19
Two Tenure-Track Assistant Professor Positions in Computer Engineering,University of California  Santa Barbara,Santa Barbara  CA,Computer Engineering,10/08/19
Assistant/Associate Professor  Engineering Management and Technology,University of Tennessee at Chattanooga,Chattanooga  TN,Computer Engineering,10/08/19
Freelance Author (m/f/d) - Model Engineering,IUBH Internationale Hochschule GmbH Fernstudium,Online/Remote,Computer Engineering,10/04/19
Asst/Assoc/Full Professor,University of Michigan,Ann Arbor  MI,Computer Engineering,10/04/19
Professor of the Practice  Electrical & Computer Engineering  College of Engineering,Boston University,Boston  MA,Electrical Engineering,10/04/19
Assistant Professor  Electrical & Computer Engineering  College of Engineering,Boston University,Boston  MA,Electrical Engineering,10/04/19
Assistant Professor  Electrical & Computer Engineering  College of Engineering,Boston University,Boston  MA,Electrical Engineering,10/04/19
Assistant Professor (Job Id: 38217),University of Louisville,Louisville  KY,Computer Engineering,10/04/19
Tenure-Track Assistant Professor - Computer Engineering,Marquette University,Milwaukee  WI,Computer Engineering,10/03/19
Neuromorphic and AI Hardware Postdoctoral Associate,SUNY Polytechnic Institute,Albany  NY,Electrical Engineering,10/03/19
Assistant Professor of Engineering (Multiple Positions Available),University of Indianapolis,Indianapolis  IN,Computer Engineering,10/03/19
Tenure-Track Faculty Position - Electrical and Computer Engineering,Cornell University,Ithaca  NY,Computer Engineering,10/03/19
Department Chair - Electrical and Computer Engineering,Michigan Technological University,Houghton  MI,Electrical Engineering,10/02/19
Faculty Positions in Computer Engineering Program,Habib University,Karachi  Pakistan,Computer Engineering,10/02/19
Post Doctoral Associate,Rutgers  The State University of New Jersey,New Brunswick  NJ,Electrical Engineering,10/02/19
Adjunct - Written and Verbal Communication for Software Development - Traditional Campus - College of Science  Engineering and Technology,Grand Canyon University,Phoenix  AZ,Computer Engineering,10/02/19
Adjunct - Senior Project I - Traditional Campus - College of Science  Engineering and Technology,Grand Canyon University,Phoenix  AZ,Computer Engineering,10/02/19
Adjunct - Operating Systems Lecture & Lab - Traditional Campus - College of Science  Engineering and Technology,Grand Canyon University,Phoenix  AZ,Computer Engineering,10/02/19
Adjunct - Computer Programming III - Traditional Campus - College of Science  Engineering and Technology,Grand Canyon University,Phoenix  AZ,Computer Engineering,10/02/19
Adjunct - Cloud Computing - Traditional Campus - College of Science  Engineering and Technology,Grand Canyon University,Phoenix  AZ,Computer Engineering,10/02/19
CSE LEO Lecturer I,University of Michigan,Ann Arbor  MI,Computer Engineering,10/01/19
CSE Lecturer III,University of Michigan,Ann Arbor  MI,Computer Engineering,10/01/19
CSE Lecturer III,University of Michigan,Ann Arbor  MI,Computer Engineering,10/01/19
Nine Tenure-Track Faculty Positions in Engineering and Computer Science,California State University  Long Beach,Long Beach  CA,Aerospace Engineering,10/01/19
Adjunct Faculty - School of Computing Sciences and Computer Engineering,University of Southern Mississippi  The,Hattiesburg  MS,Computer Science,10/01/19
Quantum Computing Faculty Position,University of Notre Dame,Notre Dame  IN,Computer Engineering,10/01/19
Full-time Lecturer of Computer Engineering,University of Washington Tacoma,Tacoma  WA,Computer Engineering,09/30/19
Tenure Track and Tenured Positions at the Assistant  Associate  and Full Professor Levels,Augusta University,Augusta  GA,Computer Engineering,09/30/19
Assistant Professor / Associate Professor / Professor in the School of Electrical and Computer Engineering,Xiamen University Malaysia,Sepang  Malaysia,Computer Engineering,09/30/19
Department Manager - Electrical and Computer Engineering,University of California  Santa Cruz,Santa Cruz  CA,Computer Engineering,09/30/19
Adjunct Teaching Professor - Electrical & Computer Engineering,Worcester Polytechnic Institute,Worcester  MA,Computer Engineering,09/30/19
Assistant Professor/Associate Professor/Professor in Electrical and Computer Engineering,University of Utah,Salt Lake City  UT,Computer Engineering,09/30/19
Lecturer in First Year Engineering Program,University of Kentucky,Lexington  KY,Computer Engineering,09/30/19
Department Head and Endowed Chair of Electrical and Computer Engineering,Mississippi State University,Starkville  MS,Electrical Engineering,09/27/19
Open Rank (req10644),University of New Mexico,Albuquerque  NM,Electrical Engineering,09/27/19
Rudolf Mößbauer Tenure Track Assistant Professorships,Technical University of Munich (TUM),Munich  Germany,Electrical Engineering,09/27/19
Director of the School of Computing,University of Utah,Salt Lake City  UT,Computer Engineering,09/27/19
Assistant/Associate/Professor,Virginia Commonwealth University,Richmond  VA,Computer Engineering,09/27/19
Electrical and Computer Engineering Faculty Positions,Lehigh University,Bethlehem  PA,Computer Engineering,09/26/19
Adjunct Faculty - Computer Programming & Analysis,St. Petersburg College,Clearwater  FL,Computer Engineering,09/26/19
Lecturer,Auburn University,Auburn  AL,Computer Engineering,09/26/19
Assistant and Associate Professor - Electrical Engineering and Computer Sciences,University of California  Berkeley,Berkeley  CA,Computer Engineering,09/26/19
Open Rank Faculty Position (Tenure-Track) - Department of Electrical  Computer  and Systems Engineering,Case Western Reserve University,Cleveland  OH,Electrical Engineering,09/25/19
Engineering (2 Assistant Professor Positions  Computer Engineering  41.19; 42.19),San Francisco State University,San Francisco  CA,Computer Engineering,09/25/19
Chair of Computer Science and Engineering,New Mexico Tech,Socorro  NM,Computer Engineering,09/24/19
Tenure-Track Faculty Position - Artificial Intelligence,The University of Hong Kong,Hong Kong  Hong Kong,Computer Engineering,09/24/19
Dean - College of Computer & Information Technology,American University in the Emirates,Dubai  United Arab Emirates,Science Deans,09/24/19
Collegiate Asst Professor,Virginia Tech,Blacksburg  VA,Computer Engineering,09/24/19
Asst. or Assoc. Professor,Virginia Tech,Blacksburg  VA,Computer Engineering,09/24/19
Department Chair & Professor - Electrical  Computer & Energy Engineering,University of Colorado Boulder,Boulder  CO,Electrical Engineering,09/24/19
CSE Asst/Assoc/Full Professor,University of Michigan,Ann Arbor  MI,Computer Engineering,09/24/19
CSE Asst/Assoc/Full Professor,University of Michigan,Ann Arbor  MI,Computer Engineering,09/24/19
CSE Asst/Assoc/Full Professor,University of Michigan,Ann Arbor  MI,Computer Engineering,09/24/19
CSE Asst/Assoc/Full Professor,University of Michigan,Ann Arbor  MI,Computer Engineering,09/24/19
CSE Asst/Assoc/Full Professor,University of Michigan,Ann Arbor  MI,Computer Engineering,09/24/19
Assistant/Associate/Full Professor,Texas Tech University,Lubbock  TX,Computer Science,09/23/19
Associate Professor or Professor  Modeling and Simulation,University of Central Florida,Orlando  FL,Computer Engineering,09/23/19
Associate or Full Professor,Colorado State University,Fort Collins  CO,Aerospace Engineering,09/23/19
Assistant  Associate  Full Professor-Cluster Hire-Augmented Reality/Virtual Reality-Immersive Technology,The University of Texas at San Antonio,San Antonio  TX,Computer Engineering,09/23/19
Assistant  Associate  Full Professor-Cluster Hire-Augmented Reality/Virtual Reality- XR Human Factors/Human Computer Interaction,The University of Texas at San Antonio,San Antonio  TX,Computer Engineering,09/23/19
Assistant/Associate Professor (2 Positions),Tennessee Tech University,Cookeville  TN,Computer Engineering,09/23/19
Clinical Assistant Professor (C/T),University of Colorado Denver,Denver  CO,Computer Engineering,09/23/19
Eleanor and Howard Morgan Professorship in the School of Operations Research and Information Engineering,Cornell University,Ithaca  NY,Computer Engineering,09/20/19
Part-Time Instructor: Embedded Systems Engineering (Online),University of California  Irvine,Online/Remote,Computer Engineering,09/20/19
Part-Time Instructor: Embedded Systems Engineering,University of California  Irvine,Irvine  CA,Computer Engineering,09/20/19
Open Rank Faculty Position,Virginia Tech,Blacksburg  VA,Computer Engineering,09/20/19
Assistant Professor of Computer Engineering and Computer Science (Software and Data Engineering),California State University  Long Beach,Long Beach  CA,Computer Engineering,09/20/19
Assistant Professor of Computer Engineering and Computer Science (Game Development and Extended Reality),California State University  Long Beach,Long Beach  CA,Computer Engineering,09/20/19
Assistant Professor of Computer Engineering and Computer Science (Computer Engineering System Design),California State University  Long Beach,Long Beach  CA,Computer Engineering,09/20/19
Adjunct Instructor Data Science - CTU Online,CTU Online,Online/Remote,Computer Science,09/19/19
Adjunct Instructor Machine Learning and Data Mining  CTU Online,CTU Online,Online/Remote,Computer Science,09/19/19
Assistant Professor - Cybersecurity,Sacred Heart University,Fairfield  CT,Computer Science,09/19/19
Lecturer (req10585),University of New Mexico,Albuquerque  NM,Computer Engineering,09/19/19
Assistant/Associate or Full Professor-Cluster Hire-Quantum Computing and Information,The University of Texas at San Antonio,San Antonio  TX,Computer Engineering,09/19/19
Adjunct Instructor - Software Engineering   CTU Denver,CTU Denver,Aurora  IL,Computer Engineering,09/18/19
Full-Time Faculty - CNC,Goodwin College,East Hartford  CT,Computer Engineering,09/18/19
Assistant Professor in Computer Engineering    (Tenure Track Position),Fort Lewis College,Durango  CO,Computer Engineering,09/18/19
Tenured/Tenure-Track: Open Rank,Texas A&amp;M University,College Station  TX,Computer Engineering,09/18/19
Academic Professional Track Faculty (Non-Tenure): Open Rank & Title,Texas A&amp;M University,College Station  TX,Computer Science,09/18/19
Academic Professional Track (Non-Tenure): Open Rank and Title,Texas A&amp;M University,College Station  TX,Computer Engineering,09/18/19
Multiple Tenure Faculty Positions in Computer Science and Engineering,Penn State,University Park  PA,Computer Engineering,09/18/19
Open Rank  Electrical and Computer Engineering,High Point University,High Point  NC,Electrical Engineering,09/17/19
Assistant Professor  Computer Information Systems,University of Houston-Clear Lake,Houston  TX,Information Systems and Technology,09/16/19
Assistant Professor - ENGR,University of Arkansas,Fayetteville  AR,Computer Engineering,09/16/19
Assistant Professor - Electrical and Computer Engineering,Marshall University,Huntington  WV,Computer Engineering,09/16/19
Assistant Professor of Computer Science  Computer Engineering  or Elect. Engineering  August 2020,Chapman University,Orange  CA,Computer Engineering,09/13/19
Associate/Full Professor of Computer Science  Computer Engineering  or Elect. Engineering  Fall 2020,Chapman University,Orange  CA,Computer Engineering,09/13/19
Open Rank/Professor of Computer Science  Computer Engineering  or Elect. Engineering  August 2020,Chapman University,Orange  CA,Computer Engineering,09/13/19
Program Director/Assistant-Associate Professor  Cybersecurity,Gannon University,Erie  PA,Computer Science,09/13/19
Assistant Professor of Electrical and Computer Engineering,California State University  Los Angeles,Los Angeles  CA,Electrical Engineering,09/13/19
Assistant or Associate Professor in Electrical and Computer Engineering- Computational Electromagnetics,Purdue University,West Lafayette  IN,Computer Engineering,09/13/19
Assistant Professor  Electrical and Computer Engineering,University of Central Florida,Orlando  FL,Computer Engineering,09/13/19
Assistant Professor (Job Id: 38089),University of Louisville,Louisville  KY,Computer Engineering,09/13/19
Lecturer  Electrical & Computer Engineering (Term),Youngstown State University,Youngstown  OH,Electrical Engineering,09/12/19
Assistant Professor in Computer Engineering,University of Rhode Island,Kingston  RI,Computer Engineering,09/12/19
Postdoctoral Research Associate,Northeastern University,Boston  MA,Computer Engineering,09/12/19
Assistant Professor of Electrical & Computer Engineering,University of New Hampshire,Durham  NH,Computer Engineering,09/12/19
Postdoctoral Research Associate I (Multiple Positions),The University of Arizona,Tucson  AZ,Computer Engineering,09/12/19
Open Rank Faculty Positions in Electrical  Computer and Energy Engineering,University of Colorado Boulder,Boulder  CO,Computer Engineering,09/12/19
Adjunct Instructor  Engineering,Palm Beach State College,Boca Raton  FL,Computer Engineering,09/12/19
Open Rank Faculty Electrical and Computer Engineering,Virginia Tech,Blacksburg  VA,Computer Engineering,09/12/19
Director of Undergraduate ECE Program,Virginia Tech,Blacksburg  VA,Computer Engineering,09/12/19
Assistant or Associate Professor - Computer Engineering,Purdue University,West Lafayette  IN,Computer Engineering,09/11/19
Adjunct- FBI Project,Texas A&amp;M University - Kingsville,Kingsville  TX,Computer Engineering,09/11/19
Assistant/Associate/Full Professor,Stony Brook University,Stony Brook  NY,Biological Engineering,09/11/19
Assistant Professor of Electrical and Computer Engineering,Valparaiso University,Valparaiso  IN,Electrical Engineering,09/10/19
Computer Science and Engineering Tenure-Track Positions,Lehigh University,Bethlehem  PA,Computer Engineering,09/10/19
CSE Asst/Assoc/Full Professor,University of Michigan,Ann Arbor  MI,Computer Engineering,09/10/19
Assistant/Associate Professor-Software Engineering & Programming Languages,University of Massachusetts - Amherst,Amherst  MA,Computer Engineering,09/10/19
Assistant Professor - Electrical and Computer Engineering (Tenure- Track),Marshall University,Huntington  WV,Computer Engineering,09/10/19
Assistant Professor of Electrical & Computer Engineering,Dixie State University,St. George  UT,Electrical Engineering,09/09/19
Research Associate in Electrical and Computer Engineering and Computer Science,University of Virginia,Charlottesville  VA,Computer Engineering,09/09/19
Assistant  Associate  Full Professor (Power/Energy Systems or Hardware Security),The University of Texas at San Antonio,San Antonio  TX,Computer Engineering,09/09/19
Assistant Professor - ENGR,University of Arkansas,Fayetteville  AR,Computer Engineering,09/09/19
Faculty Positions in Data and Computational Science,Duke Kunshan University,Kunshan  Jiangsu  China,Computer Science,09/07/19
Information Technology Instructor (San Francisco  CA),Year Up,San Francisco  CA,Information Systems and Technology,09/07/19
Assistant/Associate Professor Faculty Positions- Electrical and Computer Engineering- Foundations of Data Science,Purdue University,West Lafayette  IN,Computer Engineering,09/06/19
Assistant Professor of Electrical & Computer Engineering,Western New England University,Springfield  MA,Electrical Engineering,09/06/19
Post Doctoral Associate,Rutgers  The State University of New Jersey,New Brunswick  NJ,Computer Engineering,09/06/19
Instructor,University of Colorado Colorado Springs,Colorado Springs  CO,Electrical Engineering,09/06/19
Assistant Professor or Associate Professor,Mississippi State University,Starkville  MS,Computer Engineering,09/05/19
Post Doctoral Associate,Rutgers  The State University of New Jersey,New Brunswick  NJ,Computer Engineering,09/05/19
Caterpillar College of Engineering and Technology - Chair  Department of Electrical and Computer Engineering,Bradley University,Peoria  IL,Computer Engineering,09/04/19
Research Assistant Professor  Research Associate Professor  or Research Professor,Virginia Tech,Blacksburg  VA,Computer Engineering,09/04/19
Research Associate in Engineering Systems and Environment,University of Virginia,Charlottesville  VA,Computer Engineering,09/04/19
Research Associate CY,Virginia Tech,Blacksburg  VA,Electrical Engineering,09/04/19
Postdoctoral Associate CY,Virginia Tech,Blacksburg  VA,Computer Engineering,09/03/19
Assistant Professor,University of Mississippi,University  MS,Computer Engineering,09/03/19
Postdoctoral Associate CY,Virginia Tech,Blacksburg  VA,Computer Engineering,09/03/19
Assistant Professor  Disability  Aging and Technology,University of Central Florida,Orlando  FL,Computer Engineering,09/02/19
Postdoctoral Research Position - Computational Biomechanics,Washington State University,Spokane  WA,Computer Engineering,09/01/19
Postdoctoral Research Associate I,The University of Arizona,Tucson  AZ,Computer Engineering,09/01/19
Open Rank in Electrical and Computer Engineering,University of California  Riverside,Riverside  CA,Computer Engineering,08/30/19
Associate/Assistant Professor of Computer  Electrical or Software Engineering,Embry-Riddle Aeronautical University,Prescott  AZ,Computer Engineering,08/28/19
Professor of Practice (Faculty Director  Systems Engineering Program),University of California  San Diego,La Jolla  CA,Computer Engineering,08/27/19
Assistant/Associate Professor of Electrical and Computer Engineering- Power Systems,Purdue University,West Lafayette  IN,Electrical Engineering,08/26/19
Postdoctoral Research Associate  Electrical & Computer Engineering,Carnegie Mellon University,Pittsburgh  PA,Computer Engineering,08/26/19
Assistant Professor  Cybersecurity Program,Gannon University,Erie  PA,Computer Engineering,08/22/19
Engineering (Assistant Professor  Engineering Education  43.19),San Francisco State University,San Francisco  CA,Computer Engineering,08/22/19
Faculty Wage-School of Engineering and Applied Science,University of Virginia,Charlottesville  VA,Computer Engineering,08/21/19
Collegiate Asst or Assoc Professor AY,Virginia Tech,Blacksburg  VA,Computer Engineering,08/21/19
Department Head-Computer Engineering,Rochester Institute of Technology,Rochester  NY,Computer Engineering,08/20/19
Adjunct Instructor of Electrical and Computer Engineering,University of Hartford,West Hartford  CT,Electrical Engineering,08/19/19
Electrical and Computer Engineering Non-Tenure-Track Visiting Assistant Professor,University of Hartford,West Hartford  CT,Computer Engineering,08/16/19
Postdoctoral Research Associate,Rice University,Houston  TX,Computer Engineering,08/16/19
Assistant Professor of Electrical and Computer Engineering (Tenure Track),Lafayette College,Easton  PA,Computer Engineering,08/14/19
Assistant/Associate/Full Teaching Professor - Electrical and Computer Engineering - Data Science,Northeastern University,Boston  MA,Computer Engineering,08/14/19
Post-Doctoral Scientist,George Washington University,Washington  DC,Computer Engineering,08/13/19
Chairperson  Electrical and Computer Engineering,University of Delaware,Newark  DE,Computer Engineering,08/12/19
Adjunct Faculty/Computer Programming,Westchester Community College,Valhalla  NY,Computer Engineering,08/09/19
Postdoctoral Research Fellow,George Mason University,Fairfax  VA,Computer Engineering,08/09/19
Computer Engineering - Assistant Professor Tenure Track,California State University  San Bernardino,San Bernardino  CA,Computer Engineering,08/09/19
Adjunct Faculty - Drafting - Drafting & Design,Central Texas College,Killeen  TX,Computer Engineering,08/08/19
Project Scientist Series - Open Positions,University of California  Irvine,Irvine  CA,Psychology,08/08/19
